               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  98,             0.02574,           0.0096596,           0.0013424,             0.99116,             0.99687,             0.99381,             0.72185,            0.018512,           0.0041701,          0.00098255,            0.006799,            0.006799,            0.006799
                  99,            0.025583,           0.0087544,          0.00096163,              0.9866,             0.98375,             0.99362,             0.68266,            0.021482,           0.0044355,          0.00083809,            0.006766,            0.006766,            0.006766
                 100,            0.028216,           0.0098906,            0.001424,             0.98857,             0.99415,             0.99368,             0.71202,            0.020174,           0.0043246,          0.00083334,            0.006733,            0.006733,            0.006733
                 101,            0.027598,           0.0089388,           0.0016867,             0.99482,             0.99369,             0.99301,             0.73064,            0.019447,           0.0042028,           0.0008586,              0.0067,              0.0067,              0.0067
                 102,            0.026518,            0.009814,           0.0011318,             0.98276,             0.99431,             0.99302,             0.70468,            0.019861,           0.0041297,           0.0011101,            0.006667,            0.006667,            0.006667
                 103,            0.028261,           0.0085968,           0.0011393,             0.99245,             0.99188,              0.9949,             0.72239,            0.019373,           0.0042473,          0.00073645,            0.006634,            0.006634,            0.006634
                 104,            0.026669,           0.0096251,           0.0016607,             0.99544,             0.99898,               0.995,              0.7303,            0.018564,           0.0041898,          0.00061359,            0.006601,            0.006601,            0.006601
                 105,            0.024633,           0.0096829,           0.0011964,             0.99596,                   1,               0.995,             0.75204,            0.017595,           0.0040194,          0.00051216,            0.006568,            0.006568,            0.006568
                 106,            0.026211,           0.0080204,            0.001254,             0.99589,                   1,               0.995,             0.73501,            0.018879,           0.0040095,          0.00047153,            0.006535,            0.006535,            0.006535
                 107,            0.026788,           0.0096308,          0.00078717,             0.99555,             0.99963,               0.995,             0.76526,            0.016493,            0.003884,          0.00048746,            0.006502,            0.006502,            0.006502
                 108,            0.026083,           0.0098073,          0.00095536,             0.99829,                   1,               0.995,             0.75118,            0.017441,           0.0039384,           0.0004729,            0.006469,            0.006469,            0.006469
                 109,            0.027333,           0.0090728,            0.001053,             0.99859,                   1,               0.995,             0.74379,            0.017142,           0.0038854,          0.00044249,            0.006436,            0.006436,            0.006436
                 110,             0.02596,           0.0098762,           0.0010364,             0.99679,                   1,               0.995,             0.75055,            0.017878,           0.0039549,           0.0004621,            0.006403,            0.006403,            0.006403
                 111,            0.025113,           0.0091346,           0.0013205,             0.99831,                   1,               0.995,             0.74956,            0.017177,           0.0039646,          0.00048172,             0.00637,             0.00637,             0.00637
                 112,            0.026752,           0.0095861,          0.00091859,             0.99791,                   1,               0.995,             0.75923,            0.017126,           0.0039111,          0.00046896,            0.006337,            0.006337,            0.006337
                 113,            0.025607,           0.0093207,          0.00096155,             0.99725,                   1,               0.995,             0.77511,            0.016456,           0.0038557,          0.00048918,            0.006304,            0.006304,            0.006304
                 114,            0.025012,           0.0085685,           0.0014231,             0.99831,             0.99687,               0.995,             0.74062,            0.017747,           0.0039976,          0.00048215,            0.006271,            0.006271,            0.006271
                 115,            0.025472,           0.0085125,          0.00096723,             0.99898,                   1,               0.995,             0.77585,             0.01689,           0.0038377,          0.00044543,            0.006238,            0.006238,            0.006238
                 116,            0.025818,           0.0088356,          0.00092957,             0.99907,             0.99947,               0.995,             0.78402,            0.015671,           0.0037172,          0.00044706,            0.006205,            0.006205,            0.006205
                 117,            0.024933,           0.0084431,          0.00072418,             0.99846,                   1,               0.995,             0.78783,            0.016337,           0.0036905,          0.00050018,            0.006172,            0.006172,            0.006172
                 118,            0.025084,           0.0086624,           0.0013456,             0.99853,                   1,               0.995,             0.79966,            0.016195,           0.0036231,          0.00053879,            0.006139,            0.006139,            0.006139
                 119,            0.024836,           0.0091278,           0.0016711,             0.99857,                   1,               0.995,              0.7878,            0.015491,           0.0036038,          0.00052382,            0.006106,            0.006106,            0.006106
                 120,            0.023957,           0.0090622,           0.0013018,             0.99885,                   1,               0.995,              0.7805,            0.017341,           0.0038793,          0.00049961,            0.006073,            0.006073,            0.006073
                 121,            0.024874,           0.0083239,          0.00090068,             0.99899,                   1,               0.995,             0.78957,            0.015645,           0.0036926,          0.00046178,             0.00604,             0.00604,             0.00604
                 122,            0.024805,           0.0081293,          0.00083405,             0.99796,                   1,               0.995,             0.78032,             0.01729,           0.0037354,          0.00043988,            0.006007,            0.006007,            0.006007
                 123,            0.025192,           0.0083788,          0.00084566,             0.99453,             0.99832,               0.995,             0.77867,            0.015534,           0.0037345,           0.0004279,            0.005974,            0.005974,            0.005974
                 124,            0.023738,           0.0091358,          0.00077032,             0.99829,             0.99535,               0.995,             0.75606,             0.01732,            0.003696,          0.00043213,            0.005941,            0.005941,            0.005941
                 125,            0.025071,           0.0080869,           0.0013201,             0.99868,               0.995,             0.99485,             0.80809,            0.015299,           0.0035423,          0.00040123,            0.005908,            0.005908,            0.005908
                 126,            0.023366,           0.0082835,          0.00084274,             0.99832,                   1,               0.995,             0.78558,            0.016014,           0.0035924,          0.00040523,            0.005875,            0.005875,            0.005875
                 127,            0.023531,           0.0088827,          0.00094747,             0.99849,                   1,               0.995,               0.799,            0.014638,           0.0035425,          0.00043319,            0.005842,            0.005842,            0.005842
                 128,            0.024659,           0.0081549,           0.0011595,             0.99863,                   1,               0.995,             0.76217,            0.016344,           0.0036557,          0.00047729,            0.005809,            0.005809,            0.005809
                 129,            0.022515,           0.0079263,           0.0008401,             0.99919,                   1,               0.995,             0.78979,            0.014825,           0.0035607,          0.00048594,            0.005776,            0.005776,            0.005776
